RAMP US EQUITY,RAMP US,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Position ,Filing ,Filing ,Insider ,Percent , Percent of  ,,,
MICROSOFT CORP SAVINGS PLAN 401K,Multiple Portfolios,"11,014",0,12/31/2015,MF-AGG,N-P,0.01,0,Pension Fund,Seattle,United States
BlueCrest Capital Management Ltd,BlueCrest Capital Management Ltd,"10,820",-2005,9/30/2018,13F,N-P,0.01,0.017,Hedge Fund Manager,London,United Kingdom
Raymond James Financial Inc,--,"10,272",-811,9/30/2018,ULT-AGG,N-P,0.01,0,Investment Advisor,Tampa,United States
FOX Run Management LLC,FOX Run Management LLC,"10,087",10087,9/30/2018,13F,N-P,0.01,0.217,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Securian Asset Management Inc,Securian Asset Management Inc,"9,457",-100,9/30/2018,13F,N-P,0.01,0.011,Investment Advisor,Minneapolis/St. Paul,United States
ARP Americas LLC,ARP Americas LLC,"9,100",9100,9/30/2018,13F,N-P,0.01,0.168,Investment Advisor,New York City/Southern CT/Northern NJ,United States
OShaughnessy Asset Management LLC,O Shaughnessy Asset Management LLC,"8,780",3813,9/30/2018,13F,N-P,0.01,0.009,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Yawkey Foundation II,Multiple Portfolios,"8,725",0,12/31/2016,MF-AGG,N-P,0.01,0,Unclassified,Unclassified,United States
HSBC Holdings PLC,--,"8,535",-71169,9/30/2018,ULT-AGG,N-P,0.01,0,Investment Advisor,London,United Kingdom
Alaska Permanent Fund Corp,Multiple Portfolios,"8,474",0,6/30/2018,MF-AGG,N-P,0.01,0,Government,Juneau,United States
Zeke Capital Advisors LLC,Zeke Capital Advisors LLC,"8,441",8441,9/30/2018,13F,N-P,0.01,0.034,Investment Advisor,Philadelphia,United States
Amalgamated Bank,Amalgamated Bank,"8,311",-3831,9/30/2018,13F,N-P,0.01,0.01,Bank,New York City/Southern CT/Northern NJ,United States
WrapManager Inc,WrapManager Inc,"8,068",-4975,9/30/2018,13F,N-P,0.01,0.127,Investment Advisor,San Francisco/San Jose,United States
Lathrop Investment Management Corp,Lathrop Investment Management Corp,"7,828",65,9/30/2018,13F,N-P,0.01,0.1,Investment Advisor,Little Rock,United States
Guggenheim Partners LLC,--,"7,697",-66,11/20/2018,ULT-AGG,N-P,0.01,0,Investment Advisor,Unclassified,United States
Old National Bancorp/IN,Old National Bancorp/IN,"7,510",-5780,9/30/2018,13F,N-P,0.01,0.018,Brokerage,Unclassified,United States
Stephens Inc,Stephens Inc,"7,428",-157,9/30/2018,13F,N-P,0.01,0.009,Investment Advisor,Little Rock,United States
Stone Ridge Asset Management LLC,Stone Ridge Asset Management LLC,"7,394",255,9/30/2018,13F,N-P,0.01,0.02,Investment Advisor,New York City/Southern CT/Northern NJ,United States
New Zealand Superannuation Fund Au,Multiple Portfolios,"6,903",0,6/30/2017,MF-AGG,N-P,0.01,0,Other,Unclassified,New Zealand
Crossmark Global Holdings Inc,Crossmark Global Holdings Inc,"6,659",6659,9/30/2018,13F,N-P,0.01,0.008,Investment Advisor,Houston,United States
Summit Trail Advisors LLC,Summit Trail Advisors LLC,"6,521",6521,9/30/2018,13F,N-P,0.01,0.071,Investment Advisor,New York City/Southern CT/Northern NJ,United States
KLP Kapitalforvaltning AS,Multiple Portfolios,"6,500",0,10/31/2018,MF-AGG,N-P,0.01,0,Investment Advisor,Unclassified,Norway
FMR LLC,--,"6,253",6253,9/30/2018,ULT-AGG,N-P,0.01,0,Investment Advisor,Boston,United States
Tower Research Capital LLC,Tower Research Capital LLC,"6,158",-12814,9/30/2018,13F,N-P,0.01,0.022,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Invictus RG Pte Ltd/SG,Invictus RG Pte Ltd/SG,"5,938",5938,9/30/2018,13F,N-P,0.01,0.225,Hedge Fund Manager,Singapore City,Singapore
OakBrook Investments LLC,OakBrook Investments LLC,"5,900",5900,9/30/2018,13F,N-P,0.01,0.016,Hedge Fund Manager,Chicago,United States
Hanseatic Management Services Inc,Hanseatic Management Services Inc,"5,888",5888,9/30/2018,13F,N-P,0.01,0.272,Investment Advisor,Albuquerque,United States
Shelton Capital Management/USA,Shelton Capital Management/USA,"5,876",5876,9/30/2018,13F,N-P,0.01,0.017,Investment Advisor,Denver,United States
Squarepoint Ops LLC,Squarepoint Ops LLC,"5,846",5846,9/30/2018,13F,N-P,0.01,0.003,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
VTL Associates LLC,Multiple Portfolios,"5,530",0,11/20/2018,MF-AGG,N-P,0.01,0,Investment Advisor,Philadelphia,United States
OppenheimerFunds Inc,OppenheimerFunds Inc,"5,440",-3360,9/30/2018,13F,N-P,0.01,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Eagle Asset Management Inc,Multiple Portfolios,"5,288",-1755,6/30/2018,Multi,N-P,0.01,0,Investment Advisor,Tampa,United States
Payden & Rygel,Multiple Portfolios,"5,261",1298,6/30/2018,Sch-D [De,N-P,0.01,0,Investment Advisor,Los Angeles/Pasadena,United States
Oberweis Asset Management Inc,Multiple Portfolios,"5,100",2700,3/31/2017,MF-AGG,N-P,0.01,0,Investment Advisor,Chicago,United States
DuPont Capital Management Corp,Multiple Portfolios,"5,100",5100,9/30/2018,MF-AGG,N-P,0.01,0,Investment Advisor,Philadelphia,United States
SUNTRUST PLAN,Multiple Portfolios,"5,054",0,12/31/2016,MF-AGG,N-P,0.01,0,Pension Fund,Unclassified,United States
Element Capital Management LLC,Element Capital Management LLC,"5,013",5013,9/30/2018,13F,N-P,0.01,0.005,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Zuercher Kantonalbank,Zuercher Kantonalbank,"5,011",0,9/30/2018,13F,N-P,0.01,0.002,Bank,Zurich,Switzerland
Alambic Investment Management LP,Alambic Investment Management LP,"4,660",4660,9/30/2018,13F,N-P,0.01,0.182,Investment Advisor,San Francisco/San Jose,United States
BANK OF AMERICA 401K PLAN,Multiple Portfolios,"4,610",0,12/31/2016,MF-AGG,N-P,0.01,0,Pension Fund,Unclassified,United States
Janus Henderson Group PLC,--,"4,544",1195,6/30/2018,ULT-AGG,N-P,0.01,0,Investment Advisor,London,United Kingdom
Crossmark Global Investments Inc,Multiple Portfolios,"4,500",0,7/31/2018,MF-AGG,N-P,0.01,0,Investment Advisor,Houston,United States
LS Investment Advisors LLC,LS Investment Advisors LLC,"4,458",72,9/30/2018,13F,N-P,0.01,0.013,Investment Advisor,Detroit,United States
Perennial Investment Management Lt,Multiple Portfolios,"4,135",0,8/31/2018,MF-AGG,N-P,0.01,0,Investment Advisor,Unclassified,Australia
Simmons Bank/Pine Bluff AR,Simmons Bank/Pine Bluff AR,"4,125",4125,9/30/2018,13F,N-P,0.01,0.019,Bank,Little Rock,United States
Oaktree Capital Group Holdings LP,--,"4,067",1246,6/30/2018,ULT-AGG,N-P,0.01,0,Holding Company,Los Angeles/Pasadena,United States
INVESTERINGSFORENINGEN,--,"3,797",-238,9/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,Copenhagen,Denmark
Vericimetry Advisors LLC,Multiple Portfolios,"3,700",-2500,6/29/2018,MF-AGG,N-P,0,0,Investment Advisor,Los Angeles/Pasadena,United States
Ohio Public Employees Retirement S,Ohio Public Employees Retirement System,"3,073",-476,9/30/2018,13F,N-P,0,0.001,Pension Fund,Columbus,United States
FlexShares Trust,Multiple Portfolios,"3,024",0,11/20/2018,MF-AGG,N-P,0,0,Investment Advisor,Chicago,United States
Qube Research & Technologies Ltd,Qube Research & Technologies Ltd,"2,961",2123,9/30/2018,13F,N-P,0,0.019,Investment Advisor,London,United Kingdom
Transamerica Investment Services L,Multiple Portfolios,"2,897",0,11/20/2018,MF-AGG,N-P,0,0,Investment Advisor,Los Angeles/Pasadena,United States
NORTHWEST PASSAGE CAPITAL ADVISO,Multiple Portfolios,"2,594",-744,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Milwaukee/Madison,United States
Northwestern Mutual Life Insurance,--,"2,594",-15890,9/30/2018,ULT-AGG,N-P,0,0,Insurance Company,Milwaukee/Madison,United States
Ashmore Group PLC,Multiple Portfolios,"2,594",-744,6/30/2018,MF-AGG,N-P,0,0,Hedge Fund Manager,London,United Kingdom
Wyncote Foundation/The,Multiple Portfolios,"2,555",0,12/31/2016,MF-AGG,N-P,0,0,Unclassified,Philadelphia,United States
Danske Bank A/S,--,"2,208",8,9/30/2018,ULT-AGG,N-P,0,0,Bank,Copenhagen,Denmark
Northern Lights Fund Trust,Multiple Portfolios,"2,162",0,11/20/2018,MF-AGG,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
NISA Investment Advisors LLC,NISA Investment Advisors LLC,"1,980",-140,9/30/2018,13F,N-P,0,0.001,Investment Advisor,Saint Louis,United States
FIL Ltd,--,"1,945",39,7/31/2018,ULT-AGG,N-P,0,0,Investment Advisor,Unclassified,Bermuda
361 Capital LLC,Multiple Portfolios,"1,880",1880,7/31/2018,MF-AGG,N-P,0,0,Investment Advisor,Denver,United States
CIGNA PLANS TRUST,Multiple Portfolios,"1,791",0,12/31/2016,MF-AGG,N-P,0,0,Pension Fund,Unclassified,United States
BlueMountain Capital Management LL,BlueMountain Capital Management LLC,"1,687",326,9/30/2018,13F,N-P,0,0.002,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
PNC Financial Services Group Inc/T,PNC Financial Services Group Inc/The,"1,552",60,9/30/2018,13F,N-P,0,0,Investment Advisor,Pittsburgh,United States
Shenkman Capital Management Inc,Multiple Portfolios,"1,395",-1789,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
IFP Advisors Inc,IFP Advisors Inc,"1,304",604,9/30/2018,13F,N-P,0,0.003,Investment Advisor,Tampa,United States
Ladenburg Thalmann Financial Servi,Ladenburg Thalmann Financial Services Inc,"1,267",1267,9/30/2018,13F,N-P,0,0.001,Brokerage,Miami,United States
Iridian Asset Management LLC,Multiple Portfolios,"1,194",51,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Income Research & Management,Multiple Portfolios,"1,194",51,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Boston,United States
HS Management Partners LLC,Multiple Portfolios,"1,194",51,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
NewSouth Capital Management Inc,Multiple Portfolios,"1,194",51,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Memphis,United States
Vantage Investment Advisors LLC,Vantage Investment Advisors LLC,"1,163",0,9/30/2018,13F,N-P,0,0.012,Investment Advisor,Unclassified,United States
AssetMark Inc,Multiple Portfolios,"1,113",0,9/28/2018,MF-AGG,N-P,0,0,Investment Advisor,San Francisco/San Jose,United States
KBC Group NV,KBC Group NV,"1,058",-877,9/30/2018,13F,N-P,0,0,Investment Advisor,Brussels,Belgium
CHURCHILL ASSET MANAGEMENT LLC,Multiple Portfolios,754,-43,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Nuveen Alternatives Advisors LLC,Multiple Portfolios,754,-43,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Delta Asset Management LLC/TN,Delta Asset Management LLC/TN,750,0,9/30/2018,13F,N-P,0,0.005,Investment Advisor,Memphis,United States
Cigna Corp,Multiple Portfolios,725,-52,6/30/2018,MF-AGG,N-P,0,0,Investment Advisor,Philadelphia,United States
Franklin Resources Inc,--,725,-52,6/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,San Francisco/San Jose,United States
Fort LP,Fort LP,700,700,9/30/2018,13F,N-P,0,0.008,Investment Advisor,Washington DC,United States
Boston Partners Global Investors I,Multiple Portfolios,671,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
American Family Insurance Co,--,671,0,6/30/2018,ULT-AGG,N-P,0,0,Insurance Company,Milwaukee/Madison,United States
Western Asset Management Co LLC,Multiple Portfolios,671,-4399,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Los Angeles/Pasadena,United States
Hawks Foundation/The,Multiple Portfolios,552,0,12/31/2016,MF-AGG,N-P,0,0,Unclassified,Omaha,United States
Aevitas Wealth Management Inc,Aevitas Wealth Management Inc,510,0,9/30/2018,13F,N-P,0,0.023,Investment Advisor,Boston,United States
Cambia Health Solutions Inc,--,477,-51,6/30/2018,ULT-AGG,N-P,0,0,Insurance Company,Portland (OR),United States
Standish Mellon Asset Management C,Multiple Portfolios,477,-51,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Boston,United States
WILSHIRE ASSOCIATES INC,Multiple Portfolios,475,0,9/30/2018,MF-AGG,N-P,0,0,Investment Advisor,Los Angeles/Pasadena,United States
AGF Management Ltd,--,464,0,11/20/2018,ULT-AGG,N-P,0,0,Investment Advisor,Toronto,Canada
Asset Allocation & Management Co L,Multiple Portfolios,432,0,6/30/2018,Sch-D [De,N-P,0,0,Unclassified,Chicago,United States
Lincoln Financial Advisors Corp,Multiple Portfolios,432,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Milwaukee/Madison,United States
City National Bank/Los Angeles CA,City National Bank/Los Angeles CA,417,-208,9/30/2018,13F,N-P,0,0,Investment Advisor,Los Angeles/Pasadena,United States
BANK OF AMERICA/US TRUST,Multiple Portfolios,413,-157,6/30/2018,Sch-D [De,N-P,0,0,Bank,Columbia,United States
First Interstate Bank/Billings MT,First Interstate Bank/Billings MT,339,-197,9/30/2018,13F,N-P,0,0.004,Bank,Salt Lake City,United States
Regions Financial Corp,Regions Financial Corp,300,0,9/30/2018,13F,N-P,0,0,Bank,Birmingham,United States
Lyxor International Asset Manageme,--,249,0,11/21/2018,ULT-AGG,N-P,0,0,Investment Advisor,Unclassified,France
Elkhorn Investments LLC,Multiple Portfolios,223,0,9/15/2017,MF-AGG,N-P,0,0,Investment Advisor,Chicago,United States
Steward Partners Investment Adviso,Steward Partners Investment Advisory LLC,167,102,9/30/2018,13F,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
WealthTrust-Arizona LLC,WealthTrust-Arizona LLC,117,0,9/30/2018,13F,N-P,0,0.003,Investment Advisor,Phoenix,United States
Wilbanks Smith & Thomas Asset Mana,Wilbanks Smith & Thomas Asset Management LLC,111,111,9/30/2018,13F,N-P,0,0,Investment Advisor,Richmond,United States
Doubleline Capital LP,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Los Angeles/Pasadena,United States
New York Life Insurance Co,--,88,8,6/30/2018,ULT-AGG,N-P,0,0,Insurance Company,Unclassified,United States
Vanguard Global Advisers LLC,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Philadelphia,United States
Eagle Capital Management LLC,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Bahl & Gaynor Inc,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Cincinnati,United States
First Pacific Advisors LLC,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Los Angeles/Pasadena,United States
Metropolitan West Asset Management,Multiple Portfolios,88,-32,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Los Angeles/Pasadena,United States
Wasatch Advisors Inc,Multiple Portfolios,88,8,6/30/2018,MF-AGG,N-P,0,0,Investment Advisor,Salt Lake City,United States
Merrill Lynch & Co Inc,--,88,8,6/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,Jacksonville,United States
ArcLight Capital Partners LLC,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Private Equity,Boston,United States
First Republic Investment Manageme,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,San Francisco/San Jose,United States
RiverPark Capital Management LLC,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Blackstone Real Estate Advisors LP,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
LONE STAR NA ACQUISITONS LLC,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Dallas/Ft. Worth,United States
Strategic Partners Fund Solutions,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
WisdomTree Investments Inc,--,88,8,6/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
FRANKLIN TEMPLETON FINANC SERV,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,San Francisco/San Jose,United States
Tweedy Browne Co LLC,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Osterweis Capital Management Inc,Multiple Portfolios,88,8,6/30/2018,Sch-D [De,N-P,0,0,Hedge Fund Manager,San Francisco/San Jose,United States
Flagship Harbor Advisors LLC,Flagship Harbor Advisors LLC,85,0,9/30/2018,13F,N-P,0,0.001,Investment Advisor,Boston,United States
JOYN Inc,JOYN Inc,82,30,9/30/2018,13F,N-P,0,0.001,Investment Advisor,Atlanta,United States
Eaton Vance Corp,--,77,0,6/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,Boston,United States
STRATEGIC ALLIANCE CONSULTING GR,Multiple Portfolios,77,0,6/30/2018,Sch-D [De,N-P,0,0,Other,Chicago,United States
AEW Capital Management LP,Multiple Portfolios,77,0,6/30/2018,Sch-D [De,N-P,0,0,Hedge Fund Manager,Boston,United States
Prime Advisors Inc,Multiple Portfolios,77,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Seattle,United States
Artisan Partners LP,Multiple Portfolios,77,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Milwaukee/Madison,United States
City National Rochdale LLC,City National Rochdale LLC,66,63,9/30/2018,13F,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Deutsche Bank Securities Inc,Multiple Portfolios,56,-20,6/30/2018,Sch-D,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Schafer Cullen Capital Management,Multiple Portfolios,55,-21,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Brotherhood Mutual Insurance Co,Multiple Portfolios,55,-21,6/30/2018,MF-AGG,N-P,0,0,Insurance Company,Indianapolis,United States
Logan Capital Management Inc,Multiple Portfolios,55,-21,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Philadelphia,United States
Greystone Consulting Group The Inc,Multiple Portfolios,55,-4419,6/30/2018,Sch-D [De,N-P,0,0,Other,New York City/Southern CT/Northern NJ,United States
Miller/Howard Investments Inc,Multiple Portfolios,55,-21,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
CIM Investment Management Inc,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Pittsburgh,United States
Logan Circle Partners LP,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Unclassified,Philadelphia,United States
Community Capital Management Inc,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Miami,United States
Stoneridge PMG Advisors LLC,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Unclassified,Philadelphia,United States
Philadelphia Trust Co/The,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Philadelphia,United States
EmStone Advisers LLC,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Philadelphia,United States
STERLING ADVISORS,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Other,New York City/Southern CT/Northern NJ,United States
Ryan Labs Asset Management Inc,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Haverford Trust Co/Radnor PA,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Philadelphia,United States
Weaver C Barksdale & Associates In,Multiple Portfolios,43,-1738,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Nashville,United States
Mesirow Financial Holdings Inc,--,43,0,6/30/2018,ULT-AGG,N-P,0,0,Holding Company,Chicago,United States
Swarthmore Group Inc/The,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Philadelphia,United States
Segall Bryant & Hamill LLC,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Chicago,United States
FIFTH THIRD ASSET MANAGEMENT INC,Multiple Portfolios,43,0,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Cincinnati,United States
Emerald Advisers Inc,--,43,0,6/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,Baltimore,United States
Cornerstone Advisors Inc/WA,Cornerstone Advisors Inc/WA,25,0,9/30/2018,13F,N-P,0,0.001,Investment Advisor,Seattle,United States
Proficio Capital Partners LLC,Proficio Capital Partners LLC,15,-3,9/30/2018,13F,N-P,0,0,Investment Advisor,Boston,United States
Csenge Advisory Group LLC,Csenge Advisory Group LLC,14,14,9/30/2018,13F,N-P,0,0,Investment Advisor,Tampa,United States
Retirement System of Alabama,Retirement System of Alabama,0,-99784,9/30/2018,13F,N-P,0,0,Investment Advisor,Unclassified,United States
Mariner Wealth Advisors LLC,Mariner Wealth Advisors LLC,0,-11237,9/30/2018,13F,N-P,0,0,Investment Advisor,Kansas City,United States
Global Endowment Management LP,Global Endowment Management LP,0,-12210,9/30/2018,13F,N-P,0,0,Investment Advisor,Charlotte,United States
NumerixS Investment Technologies I,NumerixS Investment Technologies Inc,0,-3400,9/30/2018,13F,N-P,0,0,Investment Advisor,Vancouver,Canada
GAMCO Investors Inc,--,0,-4399,6/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,Unclassified,United States
Rehmann Capital Advisory Group LLC,Rehmann Capital Advisory Group LLC,0,-129,9/30/2018,13F,N-P,0,0,Investment Advisor,Lansing,United States
Arizona State Retirement System,Arizona State Retirement System,0,-53501,9/30/2018,13F,N-P,0,0,Pension Fund,Phoenix,United States
UMB Bank NA/Kansas City MO,Multiple Portfolios,0,-42225,9/28/2018,MF-AGG,N-P,0,0,Investment Advisor,Kansas City,United States
KKR & Co Inc,KKR & Co Inc,0,-1933007,9/30/2018,13F,N-P,0,0,Private Equity,New York City/Southern CT/Northern NJ,United States
TFS Capital LLC/PA,Multiple Portfolios,0,-6684,7/31/2017,MF-AGG,N-P,0,0,Investment Advisor,Philadelphia,United States
Hirtle Callaghan & Co LLC,Multiple Portfolios,0,-7,9/30/2017,MF-AGG,N-P,0,0,Investment Advisor,Philadelphia,United States
Prudential Private Placement Inves,Multiple Portfolios,0,-40,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Tudor Investment Corp,Tudor Investment Corp,0,-16491,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
IBIS Capital Partners LLP,IBIS Capital Partners LLP,0,-25000,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,London,United Kingdom
Credit Agricole Group,--,0,-4298,9/30/2018,ULT-AGG,N-P,0,0,Bank,Paris,France
Delpha Capital Management LLC,Delpha Capital Management LLC,0,-360,3/31/2018,13F,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Prelude Capital Management LLC,Prelude Capital Management LLC,0,-3774,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Spark Investment Management LLC,Spark Investment Management LLC,0,-31600,9/30/2018,13F,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Envestnet Asset Management Inc,Envestnet Asset Management Inc,0,-2331,9/30/2018,13F,N-P,0,0,Investment Advisor,Chicago,United States
Elkfork Partners LLC,Elkfork Partners LLC,0,-8712,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,Portland (OR),United States
Avestar Capital LLC,Avestar Capital LLC,0,-39,9/30/2018,13F,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Financial Gravity Cos Inc,Financial Gravity Cos Inc,0,-24,3/31/2018,13F,N-P,0,0,Investment Advisor,Dallas/Ft. Worth,United States
BNP Paribas SA,--,0,-9022,9/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,Unclassified,France
Tyers Asset Management LLC,Tyers Asset Management LLC,0,-6336,9/30/2018,13F,N-P,0,0,Investment Advisor,Austin,United States
Assenagon Asset Management SA,Assenagon Asset Management SA,0,-61083,9/30/2018,13F,N-P,0,0,Investment Advisor,Luxembourg,Luxembourg
CAPTRUST Financial Advisors LLC,CAPTRUST Financial Advisors LLC,0,-5,9/30/2018,13F,N-P,0,0,Investment Advisor,Raleigh,United States
Bridgeworth LLC,Bridgeworth LLC,0,-961,9/30/2018,13F,N-P,0,0,Investment Advisor,Birmingham,United States
Parkside Financial Bank & Trust,Parkside Financial Bank & Trust,0,-162,9/30/2018,13F,N-P,0,0,Bank,Saint Louis,United States
Riverhead Capital Management LLC,Riverhead Capital Management LLC,0,-7072,9/30/2018,13F,N-P,0,0,Investment Advisor,Philadelphia,United States
Glen Harbor Capital Management LLC,Glen Harbor Capital Management LLC,0,-13464,9/30/2018,13F,N-P,0,0,Investment Advisor,San Diego,United States
Robinson Value Management Ltd,Robinson Value Management Ltd,0,-2000,9/30/2018,13F,N-P,0,0,Investment Advisor,San Antonio,United States
Cutler Group LP,Cutler Group LP,0,-7953,9/30/2018,13F,N-P,0,0,Brokerage,San Francisco/San Jose,United States
Nomura Holdings Inc,--,0,-82582,9/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,Unclassified,Japan
Dynamic Technology Lab Pte Ltd,Dynamic Technology Lab Pte Ltd,0,-15587,9/30/2018,13F,N-P,0,0,Brokerage,Singapore City,Singapore
Two Sigma Investments LP,--,0,-13400,9/30/2018,ULT-AGG,N-P,0,0,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Valeo Financial Advisors LLC,Valeo Financial Advisors LLC,0,-281,9/30/2018,13F,N-P,0,0,Investment Advisor,Indianapolis,United States
Parisi Gray Wealth Management LLC,Parisi Gray Wealth Management LLC,0,-2082,9/30/2018,13F,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Scout Investments Inc,Scout Investments Inc,0,-50153,9/30/2018,13F,N-P,0,0,Investment Advisor,Kansas City,United States
State of Texas,--,0,-16063,9/30/2018,ULT-AGG,N-P,0,0,Government,Austin,United States
Seven Eight Capital LLC,Seven Eight Capital LLC,0,-30200,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
State of Michigan Department of th,State of Michigan Department of the Treasury,0,-28400,9/30/2018,13F,N-P,0,0,Pension Fund,Lansing,United States
We Are One Seven LLC,We Are One Seven LLC,0,-15,9/30/2018,13F,N-P,0,0,Investment Advisor,Cleveland,United States
Campbell & Co Investment Adviser L,Campbell & Co Investment Adviser LLC,0,-19100,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,Baltimore,United States
Manulife Financial Corp,--,0,-178983,9/30/2018,ULT-AGG,N-P,0,0,Insurance Company,Toronto,Canada
